没戏	没辙	0.000000
只管	尽管	0.108836
GDP	生产力	0.000000
包袱	段子	0.000000
由此	通过	0.061079
日期	时间	0.152174
爱面子	好高骛远	0.000000
严厉	严谨	0.114928
一方面	一边	-0.342655
托福	GRE	0.000000
亏	幸亏	0.308573
蹩脚	差强人意	0.000000
容易	顺利	-0.109184
悲喜	大悲大喜	0.000000
老气	土气	0.000000
狭隘	狭窄	0.000000
抄袭	克隆	0.000000
害臊	腼腆	0.000000
幻境	红楼梦	0.000000
依稀	清晰	0.000000
权限	权力	0.635654
伟大	壮烈	-0.035996
娇艳	幽美	0.000000
理解	理会	0.000000
酣睡	打鼾	0.000000
自然	环境	0.488637
振兴	建设	0.876742
节日	假日	0.000000
的哥	司机	0.000000
几乎	差点儿	0.000000
江湖	红尘	0.000000
路子	后门	0.000000
牛脾气	我行我素	0.000000
物品	物质	0.242795
塞车	拥挤	0.000000
面	首	0.658201
冷僻	晦涩	0.000000
免费	便宜	0.261757
发票	账单	0.000000
回收站	垃圾篓	0.000000
典型	代表	-0.116142
必须	必需	0.000000
出神	发楞	0.000000
琢磨	镂刻	0.000000
身姿	身手	0.000000
质量	重量	-0.027330
事变	后院起火	0.000000
大小	多少	0.773017
信物	证件	0.000000
牺牲	粉身碎骨	0.000000
豆蔻年华	黄金时代	0.000000
血液	红细胞	0.000000
硅谷	中关村	0.000000
天赋	技能	-0.488989
酷	爽	0.000000
旅客	驴友	0.000000
隆重	重要	-0.205221
候选人	备胎	0.000000
平凡	平庸	0.000000
了不得	好	0.000000
鸣谢	酬答	0.000000
线路	行程	0.000000
多角度	多元化	0.000000
要面子	虚荣心	0.000000
许可证	执照	0.622256
是非	方圆	0.037296
崛起	凸起	0.000000
工作日	开放日	0.000000
大	高	0.907944
吸引力	地磁力	0.000000
右翼	左派	0.000000
和谐	平安	0.084927
商标	符号	0.000000
违纪	贪污	0.793095
环境	生态	0.933099
实践	进行	0.441355
买卖	营销	0.341841
合理	合理性	0.000000
辛勤	夜以继日	0.558183
手续	过程	-0.168567
渣	废品	0.860344
高峰	山巅	0.000000
收费	缴纳	0.000000
享受	大快朵颐	0.000000
怯懦	胆小鬼	0.000000
杂事	闲事	0.000000
言语	语言	0.000000
借口	理由	0.846529
与	以及	0.781859
怯弱	狗熊	0.000000
惠顾	照顾	0.000000
迷人	气质	0.000000
果粉	米粉	0.000000
榜样	样子	0.118798
愚钝	大智若愚	0.000000
打假	扫黄	0.000000
均衡	全面	0.583263
制约	收敛	0.000000
经营者	纳税人	0.000000
瘦弱	苗条	0.000000
前途	道路	0.725966
遛弯	走路	0.000000
爱心	慈善	0.000000
光盘	硬盘	0.000000
一体化	集成化	0.000000
销魂	陶醉	0.000000
光荣	流芳百世	0.000000
观后感	影评	0.000000
恼怒	愤慨	0.000000
帮助	赞助	-0.332035
拥戴	崇拜	0.000000
扯淡	闲聊	0.000000
旅程	旅行	0.000000
男孩	小伙子	0.838793
见解	意见	0.528484
穷苦	贫穷	0.000000
生命	性命	0.333851
滚蛋	滚开	0.000000
维他命	维生素	0.000000
多元化	年轻化	0.000000
宝贵	金子	0.317916
结构	系统	0.836398
玩偶	工具	0.000000
丧失	失独	0.000000
肚量	肚子	0.000000
娇气	公主	0.000000
寒暑假	黄金周	0.000000
笑料	活宝	0.000000
